cid	sid	ch	det	id	a0	a1	a2	beta	radian
1	3	2	11	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	3	3	12	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	3	4	13	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	3	5	14	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	3	6	15	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	3	7	16	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	3	8	17	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	3	9	18	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	3	10	19	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	3	11	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	3	12	-1	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	3	13	94	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	3	14	95	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	3	15	96	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	4	0	21	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	4	1	22	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	4	2	23	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	4	3	25	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	4	4	26	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	4	5	27	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	4	6	28	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	4	7	29	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	4	8	30	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	4	9	31	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	4	10	32	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	4	11	33	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
1	4	12	34	0	0.000000000E+00	0.000000000E+00	0.000000000E+00	0	0
